"phone_id";"Company";"TypeName";"Inches";"resolution_width";"resolution_height";"touchscreen";"ips_panel";"cpu_brand";"cpu_speed";"Ram";"memory_type";"primary_storage";"secondary_storage";"gpu_brand";"OpSys";"Weight";"Price"
35;"Apple";"Ultrabook";13.3;1440;900;0;0;"Intel";1.6;8;"Flash Storage";256;0;"Intel";"macos";1.0;53173.44
36;"Lenovo";"Notebook";14.0;1366;768;0;0;"Intel";1.1;4;"Flash Storage";64;0;"Intel";"windows";1.0;13266.72
37;"Acer";"Notebook";15.6;1366;768;0;0;"Intel";2.7;4;"HDD";1024;0;"Intel";"linux";2.0;19553.76
38;"Dell";"Notebook";17.3;1920;1080;0;1;"Intel";1.6;8;"Hybrid";128;1024;"AMD";"windows";2.0;52161.12
39;"HP";"Notebook";15.6;1366;768;0;0;"Intel";2.5;4;"HDD";1024;0;"Intel";"windows";1.0;26037.4032
40;"HP";"Notebook";15.6;1920;1080;0;0;"Intel";1.6;8;"SSD";256;0;"Nvidia";"windows";2.0;46833.12
41;"Asus";"Notebook";15.6;1920;1080;0;0;"Intel";2.0;4;"HDD";1024;0;"Intel";"linux";2.0;20725.92
42;"Dell";"Gaming";15.6;1920;1080;0;1;"Intel";2.8;16;"Hybrid";256;1024;"Nvidia";"windows";2.0;79866.72
43;"Asus";"Notebook";15.6;1366;768;0;0;"Intel";2.5;8;"HDD";1024;0;"Nvidia";"linux";2.0;27864.9072
44;"Acer";"Notebook";15.6;1920;1080;0;1;"Intel";1.6;4;"SSD";256;0;"Intel";"windows";2.0;36336.96
45;"Dell";"2 in 1 Convertible";17.3;1920;1080;1;0;"Intel";1.6;12;"HDD";1024;0;"Nvidia";"windows";2.0;53226.72
46;"Apple";"Ultrabook";13.3;2560;1600;0;1;"Intel";2.0;8;"SSD";256;0;"Intel";"macos";1.0;75604.32
48;"Asus";"Gaming";17.3;1920;1080;0;0;"AMD";3.0;8;"Hybrid";256;1024;"AMD";"windows";3.0;69210.72
49;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";2.5;4;"SSD";256;0;"AMD";"windows";2.0;34045.92
50;"Asus";"Notebook";17.3;1366;768;0;0;"Intel";1.1;4;"HDD";1024;0;"Nvidia";"windows";2.0;24828.48
52;"Acer";"Notebook";15.6;1920;1080;0;1;"Intel";1.8;8;"SSD";256;0;"Nvidia";"windows";2.0;44808.48
53;"HP";"Notebook";15.6;1920;1080;0;0;"AMD";2.5;4;"SSD";256;0;"AMD";"windows";1.0;21231.5472
54;"HP";"Notebook";13.3;1920;1080;0;0;"Intel";1.8;8;"SSD";512;0;"Intel";"windows";1.0;58767.84
55;"Acer";"Notebook";15.6;1366;768;0;0;"Intel";2.4;4;"HDD";1024;0;"Intel";"windows";2.0;20459.52
56;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";1.8;8;"SSD";256;0;"AMD";"windows";2.0;40908.384
57;"HP";"Notebook";15.6;1920;1080;0;0;"Intel";2.0;4;"SSD";128;0;"Intel";"windows";1.0;23389.92
58;"Asus";"Notebook";15.6;1366;768;0;0;"Intel";2.5;4;"SSD";256;0;"Intel";"windows";2.0;31232.2032
59;"MSI";"Gaming";17.3;1920;1080;0;0;"Intel";2.8;16;"Hybrid";256;2048;"Nvidia";"windows";2.0;130482.72
60;"Asus";"Notebook";15.6;1920;1080;0;0;"Intel";2.0;4;"SSD";256;0;"Intel";"linux";2.0;22111.2
61;"Dell";"Notebook";17.3;1920;1080;0;0;"Intel";1.8;16;"Hybrid";256;2048;"AMD";"windows";2.0;69210.72
62;"Dell";"Ultrabook";14.0;1920;1080;0;0;"Intel";1.6;8;"SSD";256;0;"Intel";"windows";1.0;46833.12
63;"Lenovo";"Notebook";14.0;1920;1080;0;1;"Intel";2.7;8;"SSD";256;0;"Intel";"N/A";1.0;31914.72
64;"Asus";"Notebook";14.0;1920;1080;0;0;"Intel";1.6;8;"SSD";256;0;"Intel";"windows";1.0;50136.48
65;"HP";"Notebook";15.6;1920;1080;0;0;"Intel";2.5;8;"SSD";256;0;"Intel";"windows";1.0;36763.2
66;"Asus";"Ultrabook";15.6;1920;1080;0;0;"Intel";2.8;16;"SSD";512;0;"Nvidia";"windows";1.0;105654.24
67;"HP";"Notebook";15.6;1366;768;0;0;"Intel";2.0;4;"HDD";500;0;"AMD";"windows";1.0;23373.4032
68;"HP";"Notebook";14.0;1366;768;0;0;"Intel";1.6;4;"SSD";32;0;"Intel";"windows";1.0;12201.12
69;"Lenovo";"Notebook";15.6;1920;1080;0;0;"Intel";2.5;4;"HDD";1024;0;"Intel";"windows";1.0;29250.72
70;"Asus";"Gaming";17.3;1920;1080;0;0;"Intel";2.8;12;"HDD";1024;0;"Nvidia";"linux";3.0;50562.72
71;"Microsoft";"Ultrabook";13.5;2256;1504;1;0;"Intel";2.5;4;"SSD";128;0;"Intel";"windows";1.0;58021.92
72;"Dell";"Ultrabook";13.3;1920;1080;0;1;"Intel";1.8;64;"SSD";256;0;"AMD";"windows";1.0;50882.4
73;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";1.8;8;"SSD";256;0;"AMD";"windows";2.0;46353.6
74;"MSI";"Gaming";17.3;1920;1080;0;0;"Intel";2.5;8;"Hybrid";128;1024;"Nvidia";"windows";2.0;58341.6
75;"Acer";"Notebook";14.0;1366;768;0;0;"Intel";2.0;8;"HDD";1024;0;"Intel";"windows";2.0;20725.92
76;"Asus";"Gaming";15.6;1920;1080;0;0;"Intel";2.8;8;"HDD";1024;0;"Nvidia";"windows";2.0;50562.72
77;"Lenovo";"Notebook";15.6;1920;1080;0;0;"Intel";2.5;8;"HDD";2048;0;"Intel";"N/A";2.0;27652.32
78;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";1.8;8;"Hybrid";128;1024;"Intel";"windows";2.0;45554.4
79;"Acer";"Notebook";15.6;1920;1080;0;0;"Intel";2.7;4;"HDD";1024;0;"Nvidia";"windows";2.0;28238.4
80;"HP";"Notebook";17.3;1920;1080;0;0;"Intel";1.6;8;"Hybrid";128;1024;"Nvidia";"windows";2.0;52054.56
81;"Dell";"Ultrabook";15.6;1920;1080;0;1;"Intel";1.6;8;"SSD";256;0;"Intel";"windows";1.0;58403.4048
82;"Apple";"Ultrabook";12.0;2304;1440;0;1;"Intel";1.3;8;"SSD";512;0;"Intel";"macos";0.0;80452.8
83;"HP";"Notebook";14.0;1920;1080;0;0;"Intel";1.6;8;"SSD";256;0;"Intel";"windows";1.0;45820.8
84;"Lenovo";"Notebook";15.6;1920;1080;0;0;"AMD";2.5;4;"SSD";128;0;"AMD";"windows";2.0;21258.72
85;"Acer";"Notebook";15.6;1366;768;0;0;"AMD";3.0;4;"HDD";1024;0;"AMD";"windows";2.0;21045.6
86;"Dell";"Gaming";15.6;1920;1080;0;1;"Intel";2.8;16;"Hybrid";128;1024;"Nvidia";"windows";2.0;71874.72
87;"HP";"Ultrabook";15.6;1920;1080;0;1;"Intel";1.8;8;"SSD";256;0;"Nvidia";"windows";1.0;37242.72
88;"HP";"Notebook";15.6;1920;1080;0;0;"Intel";2.5;8;"SSD";256;0;"Intel";"windows";1.0;31914.1872
89;"Asus";"Gaming";15.6;1920;1080;0;1;"Intel";2.8;16;"Hybrid";128;1024;"Nvidia";"windows";2.0;77202.72
90;"Dell";"Ultrabook";13.3;1920;1080;0;1;"Intel";1.8;8;"SSD";256;0;"Intel";"windows";1.0;87858.72
91;"Asus";"Gaming";15.6;1920;1080;0;0;"AMD";3.0;8;"HDD";1024;0;"AMD";"windows";2.0;37242.72
92;"Acer";"Notebook";15.6;1920;1080;0;0;"Intel";1.8;2;"HDD";1024;0;"Nvidia";"windows";2.0;36709.92
93;"HP";"Notebook";13.3;1920;1080;0;0;"Intel";1.8;16;"SSD";512;0;"Intel";"windows";1.0;63776.16
94;"Dell";"Gaming";15.6;1920;1080;0;0;"Intel";2.5;8;"SSD";256;0;"Nvidia";"windows";2.0;63669.6
95;"Asus";"Ultrabook";14.0;1920;1080;0;0;"Intel";2.7;8;"SSD";256;0;"Intel";"windows";1.0;55890.72
96;"Acer";"2 in 1 Convertible";13.3;1920;1080;1;1;"Intel";1.6;8;"SSD";256;0;"Intel";"windows";1.0;45128.16
97;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";2.7;8;"HDD";1024;0;"AMD";"linux";2.0;31962.672
98;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";2.0;4;"SSD";256;0;"AMD";"linux";2.0;25840.8
99;"Asus";"Notebook";15.6;1920;1080;0;0;"Intel";2.4;6;"SSD";256;0;"Nvidia";"windows";2.0;30742.56
100;"HP";"Gaming";15.6;1920;1080;0;1;"Intel";2.8;12;"Hybrid";128;1024;"Nvidia";"windows";2.0;66546.72
101;"HP";"Notebook";15.6;1920;1080;0;0;"Intel";2.7;8;"SSD";256;0;"AMD";"windows";1.0;38308.32
102;"HP";"Notebook";15.6;1920;1080;0;0;"AMD";1.5;4;"HDD";500;0;"AMD";"windows";2.0;18594.72
103;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";1.6;8;"HDD";1024;0;"AMD";"linux";2.0;34472.16
104;"HP";"Ultrabook";13.3;1920;1080;0;1;"Intel";2.7;8;"SSD";256;0;"Nvidia";"windows";1.0;59620.32
105;"Microsoft";"Ultrabook";13.5;2256;1504;1;0;"Intel";2.5;8;"SSD";256;0;"Intel";"windows";1.0;71395.2
106;"HP";"Notebook";14.0;1920;1080;0;1;"Intel";2.5;6;"SSD";256;0;"Nvidia";"windows";1.0;35111.52
107;"Lenovo";"Notebook";15.6;1920;1080;0;0;"Intel";2.0;4;"HDD";1024;0;"Intel";"windows";1.0;22105.872
108;"Asus";"Ultrabook";14.0;1920;1080;0;1;"Intel";2.7;8;"SSD";256;0;"Nvidia";"windows";1.0;63563.04
109;"MSI";"Gaming";15.6;1920;1080;0;0;"Intel";2.8;16;"Hybrid";256;1024;"Nvidia";"windows";2.0;69210.72
110;"Lenovo";"Notebook";14.0;1920;1080;0;1;"Intel";2.7;8;"SSD";256;0;"Intel";"windows";1.0;78854.4
111;"Asus";"Ultrabook";15.6;1920;1080;0;0;"Intel";1.8;16;"Hybrid";256;1024;"Nvidia";"windows";1.0;67239.36
112;"Dell";"Ultrabook";13.3;3200;1800;1;0;"Intel";2.4;8;"SSD";256;0;"Intel";"windows";1.0;73473.12
113;"Lenovo";"2 in 1 Convertible";13.3;1920;1080;1;1;"Intel";2.5;8;"SSD";256;0;"Intel";"windows";1.0;74538.72
114;"HP";"Notebook";14.0;1366;768;0;1;"Intel";1.6;4;"HDD";500;0;"Intel";"windows";1.0;38468.16
115;"Dell";"Ultrabook";13.3;1920;1080;0;1;"Intel";1.6;8;"SSD";256;0;"Intel";"windows";1.0;86793.12
117;"HP";"Notebook";14.0;1920;1080;0;0;"Intel";1.8;8;"SSD";512;0;"Intel";"windows";1.0;57755.52
118;"Dell";"Notebook";15.6;1920;1080;0;1;"Intel";1.8;8;"Hybrid";256;1024;"Nvidia";"windows";2.0;60223.9824
119;"Asus";"Notebook";17.3;1920;1080;0;0;"Intel";2.0;4;"HDD";1024;0;"Nvidia";"windows";2.0;30049.92
120;"Asus";"Notebook";15.6;1920;1080;0;0;"Intel";1.8;8;"SSD";256;0;"Nvidia";"windows";1.0;59567.04
121;"Acer";"Notebook";15.6;1920;1080;1;1;"Intel";2.4;6;"HDD";1024;0;"Intel";"windows";2.0;25521.12
122;"MSI";"Gaming";15.6;1920;1080;0;0;"Intel";2.8;16;"Hybrid";256;2048;"Nvidia";"windows";1.0;119427.12
123;"Lenovo";"Notebook";15.6;1920;1080;0;0;"Intel";2.5;8;"SSD";256;0;"Nvidia";"N/A";2.0;33513.12
124;"HP";"Notebook";17.3;1920;1080;0;0;"Intel";1.8;16;"SSD";512;0;"Nvidia";"windows";2.0;67718.88
125;"Acer";"Notebook";15.6;1366;768;0;0;"AMD";3.0;4;"SSD";256;0;"AMD";"windows";2.0;24029.28
127;"HP";"Notebook";14.0;1920;1080;0;0;"Intel";1.6;8;"HDD";1024;0;"Intel";"windows";1.0;43263.36
128;"Asus";"Notebook";14.0;1366;768;0;0;"AMD";1.5;4;"SSD";64;0;"AMD";"windows";1.0;14811.3072
129;"Dell";"Notebook";17.3;1920;1080;0;0;"Intel";1.8;16;"Hybrid";256;2048;"AMD";"windows";2.0;74378.88
130;"HP";"Notebook";17.3;1920;1080;0;0;"Intel";1.6;8;"SSD";256;0;"Intel";"windows";2.0;49443.84
131;"Dell";"Notebook";15.6;1366;768;0;0;"Intel";2.5;8;"HDD";1024;0;"AMD";"windows";2.0;34045.3872
132;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";2.0;4;"HDD";1024;0;"AMD";"windows";2.0;23922.72
133;"Acer";"Ultrabook";14.0;1920;1080;0;1;"Intel";1.8;8;"SSD";256;0;"Intel";"windows";1.0;47099.52
134;"Acer";"Notebook";15.6;1920;1080;0;0;"Intel";2.7;4;"SSD";256;0;"Nvidia";"windows";7.0;30476.16
135;"HP";"Notebook";15.6;1366;768;0;0;"Intel";2.7;8;"HDD";1024;0;"Intel";"windows";2.0;31861.44
136;"HP";"Notebook";14.0;1920;1080;0;0;"Intel";1.8;8;"SSD";256;0;"Intel";"windows";1.0;52640.64
137;"Lenovo";"Notebook";15.6;1366;768;0;0;"Intel";1.1;4;"HDD";1024;0;"Intel";"N/A";1.0;13445.7408
138;"Asus";"Gaming";17.3;1920;1080;0;0;"Intel";2.5;8;"Hybrid";128;1024;"Nvidia";"windows";3.0;49976.64
139;"Lenovo";"Notebook";15.6;1920;1080;0;0;"Intel";2.5;4;"HDD";1024;0;"Nvidia";"N/A";2.0;26586.72
140;"HP";"Notebook";13.3;1920;1080;0;1;"Intel";2.5;4;"SSD";256;0;"Intel";"windows";1.0;37242.72
141;"Acer";"Notebook";17.3;1920;1080;0;1;"Intel";2.7;4;"HDD";1024;0;"Nvidia";"windows";3.0;34898.4
142;"Lenovo";"Notebook";14.0;1920;1080;0;1;"Intel";1.6;8;"SSD";256;0;"AMD";"windows";1.0;59461.5456
143;"Lenovo";"Gaming";15.6;1920;1080;0;1;"Intel";2.8;8;"SSD";256;0;"Nvidia";"N/A";2.0;46300.32
144;"Toshiba";"Notebook";15.6;1366;768;0;0;"Intel";2.3;4;"HDD";500;0;"Intel";"windows";2.0;32074.56
145;"HP";"Notebook";15.6;1366;768;0;0;"AMD";2.5;4;"SSD";256;0;"AMD";"windows";1.0;19660.32
146;"Asus";"Ultrabook";14.0;1920;1080;0;0;"Intel";1.8;8;"SSD";256;0;"Intel";"windows";1.0;58554.72
147;"HP";"Ultrabook";12.5;3840;2160;1;1;"Intel";1.2;8;"SSD";512;0;"Intel";"windows";0.0;107305.92
148;"Asus";"Notebook";15.6;1920;1080;0;0;"Intel";1.1;4;"HDD";1024;0;"Intel";"windows";2.0;18328.32
150;"Acer";"Notebook";15.6;1366;768;0;0;"Intel";2.0;4;"HDD";1024;0;"Intel";"windows";2.0;23816.16
151;"Dell";"Gaming";15.6;1920;1080;0;0;"Intel";2.8;16;"SSD";512;0;"Nvidia";"windows";2.0;66560.5728
152;"Dell";"Gaming";15.6;1920;1080;0;0;"Intel";2.8;8;"Hybrid";1024;0;"Nvidia";"windows";2.0;47898.72
153;"Lenovo";"Notebook";15.6;1366;768;0;0;"Intel";2.5;4;"SSD";128;0;"Intel";"windows";1.0;26533.44
154;"MSI";"Gaming";17.3;1920;1080;0;0;"Intel";2.8;16;"Hybrid";256;1024;"Nvidia";"windows";2.0;100699.2
155;"HP";"Ultrabook";14.0;1920;1080;0;0;"Intel";2.7;4;"SSD";256;0;"Intel";"windows";1.0;57648.96
156;"HP";"Notebook";15.6;1920;1080;0;0;"Intel";1.6;6;"SSD";256;0;"AMD";"windows";1.0;32980.32
157;"Lenovo";"2 in 1 Convertible";14.0;1920;1080;1;1;"Intel";2.4;4;"SSD";256;0;"Intel";"windows";1.0;33513.12
158;"Asus";"2 in 1 Convertible";13.3;1920;1080;1;0;"Intel";1.6;8;"SSD";256;0;"Intel";"windows";1.0;70063.2
159;"Dell";"2 in 1 Convertible";15.6;1920;1080;1;0;"Intel";1.8;8;"SSD";256;0;"Intel";"windows";1.0;55890.72
160;"Toshiba";"Notebook";15.6;1366;768;0;0;"Intel";2.2;4;"HDD";500;0;"Intel";"windows";2.0;23816.16
161;"Asus";"Notebook";15.6;1366;768;0;0;"AMD";3.0;4;"HDD";1024;0;"AMD";"windows";2.0;21471.84
162;"Acer";"Notebook";17.3;1920;1080;0;1;"Intel";1.6;4;"SSD";256;0;"Nvidia";"windows";3.0;42890.4
163;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";1.6;8;"SSD";256;0;"AMD";"windows";2.0;38787.84
164;"Lenovo";"Gaming";15.6;1920;1080;0;1;"Intel";2.8;16;"SSD";256;0;"Nvidia";"windows";2.0;57489.12
165;"Acer";"Notebook";15.6;1366;768;0;0;"Intel";1.1;4;"HDD";1024;0;"Intel";"windows";2.0;18541.44
166;"MSI";"Gaming";15.6;1920;1080;0;1;"Intel";2.8;16;"Hybrid";256;1024;"Nvidia";"windows";2.0;95850.72
167;"Acer";"Notebook";15.6;1366;768;0;0;"Intel";1.1;4;"HDD";1024;0;"Intel";"windows";2.0;19367.8128
168;"Dell";"Gaming";15.6;1920;1080;0;0;"Intel";2.8;8;"Hybrid";128;1024;"Nvidia";"windows";2.0;56502.9072
169;"Acer";"Notebook";17.3;1920;1080;0;1;"Intel";1.6;8;"SSD";256;0;"Nvidia";"windows";3.0;45501.12
170;"HP";"Notebook";13.3;1920;1080;0;1;"Intel";1.6;4;"HDD";500;0;"Intel";"windows";1.0;40173.12
171;"Huawei";"Ultrabook";13.0;2160;1440;0;1;"Intel";2.5;8;"SSD";256;0;"Intel";"windows";1.0;71874.72
172;"HP";"Notebook";17.3;1920;1080;0;1;"Intel";2.5;6;"HDD";2048;0;"AMD";"windows";2.0;37242.72
173;"Lenovo";"Notebook";15.6;1366;768;0;0;"AMD";2.9;4;"HDD";500;0;"AMD";"N/A";2.0;16463.52
174;"Toshiba";"Notebook";15.6;1366;768;0;0;"Intel";2.4;4;"HDD";500;0;"Intel";"windows";5.0;26053.92
175;"HP";"Notebook";17.3;1920;1080;0;0;"Intel";1.6;8;"SSD";256;0;"Nvidia";"windows";2.0;49177.44
176;"Dell";"Notebook";15.6;1366;768;0;0;"Intel";2.4;8;"HDD";1024;0;"Intel";"windows";2.0;24455.52
177;"Acer";"Notebook";15.6;1366;768;0;0;"Intel";2.0;4;"SSD";128;0;"Intel";"windows";2.0;23922.72
178;"MSI";"Gaming";18.4;1920;1080;0;0;"Intel";2.9;32;"Hybrid";512;1024;"Nvidia";"windows";4.0;149130.72
179;"Lenovo";"Notebook";15.6;1920;1080;0;0;"Intel";2.5;8;"Hybrid";128;1024;"AMD";"windows";1.0;43316.64
180;"HP";"2 in 1 Convertible";13.3;3840;2160;1;1;"Intel";1.6;8;"SSD";256;0;"Intel";"windows";1.0;79866.72
181;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";1.8;16;"Hybrid";256;2048;"AMD";"linux";2.0;55890.72
182;"Dell";"Ultrabook";13.3;1920;1080;0;0;"Intel";1.6;8;"SSD";256;0;"Intel";"windows";1.0;74538.72
183;"Lenovo";"2 in 1 Convertible";13.9;3840;2160;1;1;"Intel";1.8;16;"SSD";512;0;"Intel";"windows";1.0;98514.72
184;"Toshiba";"Notebook";15.6;1366;768;0;0;"Intel";2.5;8;"SSD";128;0;"Intel";"windows";2.0;42251.04
185;"Xiaomi";"Notebook";15.6;1920;1080;0;1;"Intel";1.6;8;"SSD";256;0;"Nvidia";"N/A";1.0;63882.72
186;"Dell";"Notebook";17.3;1920;1080;1;0;"Intel";1.8;16;"SSD";512;0;"Nvidia";"windows";2.0;82530.72
187;"Dell";"Notebook";15.6;3840;2160;1;0;"Intel";2.8;16;"SSD";512;0;"Nvidia";"windows";2.0;127712.16
188;"Lenovo";"Gaming";15.6;1920;1080;0;1;"Intel";2.5;8;"SSD";256;0;"Nvidia";"N/A";2.0;41505.12
189;"Acer";"Ultrabook";13.3;1920;1080;0;1;"Intel";1.2;8;"SSD";256;0;"Intel";"windows";1.0;52693.92
190;"Dell";"Notebook";17.3;1920;1080;0;0;"Intel";1.8;8;"Hybrid";128;1024;"AMD";"windows";2.0;57808.8
192;"Vero";"Notebook";14.0;1920;1080;0;1;"Intel";1.1;4;"Flash Storage";32;0;"Intel";"windows";1.0;13852.8
193;"Xiaomi";"Ultrabook";13.3;1920;1080;0;1;"Intel";2.5;8;"SSD";256;0;"Nvidia";"N/A";1.0;53274.672
194;"Lenovo";"Notebook";17.3;1600;900;0;0;"Intel";1.6;8;"SSD";256;0;"Nvidia";"N/A";2.0;37189.44
195;"Dell";"2 in 1 Convertible";13.3;1920;1080;1;1;"Intel";1.8;8;"HDD";1024;0;"Intel";"windows";1.0;44701.92
196;"HP";"Notebook";17.3;1920;1080;0;1;"Intel";1.6;8;"HDD";1024;0;"Nvidia";"windows";2.0;48697.92
197;"Razer";"Gaming";17.3;3840;2160;1;0;"Intel";2.9;32;"SSD";1024;0;"Nvidia";"windows";3.0;324954.72
198;"HP";"Notebook";13.3;1920;1080;0;0;"Intel";1.6;8;"SSD";512;0;"Intel";"windows";1.0;51095.52
199;"HP";"Gaming";17.3;1920;1080;0;1;"Intel";2.8;16;"Hybrid";256;1024;"Nvidia";"windows";3.0;73473.12
200;"HP";"Notebook";17.3;1920;1080;0;0;"Intel";1.8;8;"SSD";256;0;"Nvidia";"windows";2.0;55677.6
201;"Dell";"Gaming";15.6;3840;2160;0;1;"Intel";2.8;16;"Hybrid";512;1024;"Nvidia";"windows";2.0;98301.6
202;"Lenovo";"Notebook";15.6;1366;768;0;0;"Intel";2.3;4;"SSD";128;0;"Intel";"windows";2.0;26267.04
203;"Acer";"Notebook";15.6;1920;1080;0;0;"Intel";2.7;8;"HDD";1024;0;"Nvidia";"windows";2.0;39533.76
204;"Lenovo";"Gaming";15.6;1920;1080;0;1;"Intel";2.8;16;"Hybrid";512;1024;"Nvidia";"windows";3.0;93186.72
205;"Dell";"Workstation";15.6;3840;2160;0;0;"Intel";3.0;16;"Hybrid";256;1024;"Nvidia";"windows";2.0;162770.4
206;"Lenovo";"Gaming";15.6;1920;1080;0;0;"Intel";2.8;16;"SSD";512;0;"Nvidia";"N/A";2.0;74485.44
207;"Dell";"Notebook";15.6;1366;768;1;0;"Intel";2.4;6;"HDD";1024;0;"Intel";"windows";2.0;23389.92
208;"Dell";"Ultrabook";13.3;3840;2160;1;1;"Intel";1.8;8;"SSD";256;0;"Intel";"windows";1.0;103842.72
209;"Dell";"Ultrabook";13.3;1920;1080;0;0;"Intel";1.8;8;"SSD";256;0;"Intel";"windows";0.0;77202.72
211;"Acer";"Notebook";15.6;1920;1080;0;0;"Intel";2.8;8;"HDD";1024;0;"Nvidia";"linux";2.0;41505.12
212;"Asus";"Gaming";17.3;1920;1080;0;0;"Intel";2.8;16;"Hybrid";256;1024;"Nvidia";"windows";2.0;74964.96
